year(Fecha);Ciudad;Semana;RH;PS,,
2017;Bogota;8;79,13428571;82,35571429
2017;Cali;8;84,29142857;79,32142857
2017;Medellin;8;85,71857143;81,64571429
2018;Cali;8;88,14;79,28428571
2018;Medellin;8;88,95714286;81,61428571
2018;Barranquilla;8;72,56714286;100,7671429
2019;Bogota;8;78,16428571;82,31428571
2019;Cali;8;84,85285714;79,25714286
2019;Medellin;8;88,66142857;81,60285714
2019;Barranquilla;8;72,62285714;100,5614286
2020;Bogota;8;83,13714286;82,31571429
2020;Cali;8;86,41;79,27571429
2020;Medellin;8;88,1;81,58857143
2020;Barranquilla;8;76,16142857;100,6557143
2010;Barranquilla;9;79,04857143;100,5528571
2010;Cali;9;77,39142857;79,26285714
2010;Medellin;9;84,66285714;81,60857143
2011;Barranquilla;9;76,90428571;100,62
2011;Bogota;9;84,46571429;82,23428571
2011;Cali;9;87,73;79,17857143
2011;Medellin;9;87,77571429;81,5
2012;Bogota;9;78,95714286;82,21285714
2012;Cali;9;87,64857143;79,14857143
2012;Medellin;9;86,04571429;81,50571429
2012;Barranquilla;9;73,82142857;100,5371429
2013;Bogota;9;79,46142857;82,20857143
2013;Cali;9;84,07714286;79,16857143
2013;Medellin;9;89,86142857;81,48571429
2013;Barranquilla;9;78,73142857;100,4357143
2014;Bogota;9;86,16285714;82,27714286
2014;Cali;9;88,37;79,23285714
2014;Medellin;9;89,13857143;81,54857143
2014;Barranquilla;9;75,09857143;100,63
2015;Bogota;9;77,45;82,23857143
2015;Cali;9;84,32428571;79,18428571
2015;Medellin;9;88,1;81,51714286
2015;Barranquilla;9;70,88142857;100,5242857
2016;Bogota;9;69,72428571;82,28142857
2016;Cali;9;81,44142857;79,25571429
2016;Medellin;9;76,97285714;81,57857143
2016;Barranquilla;9;73,04714286;100,6114286
2017;Bogota;9;76,49;82,28142857
2017;Medellin;9;87,29714286;81,58571429
2017;Barranquilla;9;72,01714286;100,6357143
2018;Bogota;9;81,05142857;82,31714286
2018;Cali;9;86,32285714;79,23857143
2018;Medellin;9;84,80142857;81,57857143
2018;Barranquilla;9;75,43571429;100,7671429
2019;Bogota;9;80,21714286;82,38285714
2019;Cali;9;86,04285714;79,31571429
2019;Medellin;9;87,16285714;81,65857143
2019;Barranquilla;9;74,82285714;100,6514286
2020;Bogota;9;82,03571429;82,41857143
2020;Cali;9;87,06285714;79,35428571
2020;Medellin;9;87,49857143;81,70285714
2020;Barranquilla;9;74,44;100,7514286
2010;Barranquilla;10;81,27;100,4614286
2010;Cali;10;78,10428571;79,17428571
2010;Medellin;10;85,53285714;81,50857143
2011;Bogota;10;87,04;82,29571429
2011;Cali;10;88,38285714;79,25428571
2011;Medellin;10;88,72571429;81,56142857
2012;Bogota;10;80,68857143;82,20428571
2012;Cali;10;85,61142857;79,11714286
2012;Medellin;10;88,76857143;81,48571429
2012;Barranquilla;10;74,65428571;100,4785714
2013;Bogota;10;79,25571429;82,29142857
2013;Cali;10;83,77;79,23714286
2013;Barranquilla;10;77,94428571;100,5542857
2014;Bogota;10;86,83428571;82,35
2014;Cali;10;89,36857143;79,30428571
2014;Medellin;10;91,50428571;81,61571429
2015;Bogota;10;74,75;82,13428571
2015;Cali;10;82,35571429;79,7714286
2015;Medellin;10;84,38857143;81,42571429
2015;Barranquilla;10;69,73142857;100,3957143
2016;Bogota;10;76,27857143;82,41428571
2016;Cali;10;86,21714286;79,38714286
2016;Medellin;10;84,06285714;81,70428571
2016;Barranquilla;10;74,10285714;100,75
2017;Bogota;10;81,39571429;82,25142857
2017;Cali;10;86,95142857;79,19714286
2017;Medellin;10;91,32;81,53714286
2017;Barranquilla;10;73,41428571;100,5614286
2018;Cali;10;83,85571429;79,14428571
2018;Medellin;10;85,46285714;81,5
2018;Barranquilla;10;76,74857143;100,5071429
2019;Cali;10;83,80714286;79,22285714
2019;Medellin;10;87,89285714;81,56142857
2019;Barranquilla;10;75,96714286;100,5857143
2020;Cali;10;84,02714286;79,3
2020;Medellin;10;83,86857143;81,65714286
2020;Barranquilla;10;73,45428571;100,6785714
2010;Barranquilla;11;79,80142857;100,4814286
2010;Bogota;11;65,51857143;82,28142857
2010;Cali;11;77,33428571;79,25571429
2010;Medellin;11;84,71857143;81,58714286
2011;Barranquilla;11;71,51;100,8028571
2011;Bogota;11;82,81142857;82,32142857
2011;Cali;11;87,01285714;79,27142857
2011;Medellin;11;84,80857143;81,59142857
2012;Barranquilla;11;77,92857143;100,5514286
2012;Bogota;11;78,47857143;82,26857143
2012;Cali;11;83,11571429;79,18142857
2013;Bogota;11;84,20142857;82,26428571
2013;Cali;11;87,66571429;79,22428571
2013;Medellin;11;91,77571429;81,54
2014;Bogota;11;83,82571429;82,21428571
2014;Cali;11;88,44142857;79,18
2014;Medellin;11;89,54285714;81,49142857
2014;Barranquilla;11;73,84;100,5257143
2015;Bogota;11;79,77714286;82,22
2015;Cali;11;87,27571429;79,19285714
2015;Medellin;11;89,69714286;81,50142857
2015;Barranquilla;11;73,34285714;100,5157143
2016;Bogota;11;76,00714286;82,37571429
2016;Cali;11;87,11285714;79,31857143
2016;Barranquilla;11;73,38428571;100,6614286
2017;Cali;11;87,45571429;79,32285714
2017;Medellin;11;88,43714286;81,66285714
2017;Barranquilla;11;75,10142857;100,6971429
2018;Bogota;11;75,32142857;82,26857143
2018;Cali;11;85,94571429;79,23428571
2018;Medellin;11;86,47142857;81,57142857
2018;Barranquilla;11;76,19285714;100,5342857
2019;Bogota;11;82,96857143;82,25857143
2019;Cali;11;84,74428571;79,19857143
2019;Medellin;11;88,58714286;81,52142857
2019;Barranquilla;11;75,95142857;100,5142857
2020;Bogota;11;83,97428571;82,34
2020;Cali;11;86,64571429;79,28
2020;Medellin;11;85,98714286;81,60857143
2020;Barranquilla;11;75,38714286;100,7228571
2010;Barranquilla;12;75,74142857;100,4157143
2010;Bogota;12;62,06285714;82,27714286
2010;Cali;12;73,36428571;79,23285714
2010;Medellin;12;80,51857143;81,56
2011;Barranquilla;12;75,08142857;100,5628571
2011;Bogota;12;84,69857143;82,19857143
2011;Cali;12;87,59714286;79,14428571
2011;Medellin;12;90,98285714;81,45714286
2012;Barranquilla;12;78,01;100,5742857
2012;Bogota;12;86,06;82,22714286
2012;Cali;12;88,39857143;79,15428571
2012;Medellin;12;89,08428571;81,50142857
2013;Bogota;12;84,50142857;82,30714286
2013;Cali;12;84,76571429;79,25285714
2013;Medellin;12;89,32857143;81,58857143
2013;Barranquilla;12;76,99428571;100,5642857
2014;Bogota;12;79,83714286;82,27714286
2014;Cali;12;85,44714286;79,22714286
2014;Barranquilla;12;76,01;100,4942857
2015;Bogota;12;85,82571429;82,45857143
2015;Cali;12;87,96285714;79,40857143
2015;Medellin;12;88,03571429;81,73
2015;Barranquilla;12;74,26571429;100,8628571
2016;Bogota;12;68,45;82,31571429
2016;Cali;12;80,41428571;79,28285714
2016;Medellin;12;81,37;81,61857143
2017;Bogota;12;86,32857143;82,41142857
2017;Medellin;12;90,30571429;81,67857143
2017;Barranquilla;12;74,97285714;100,7757143
2018;Bogota;12;81,51428571;82,23857143
2018;Cali;12;86,51857143;79,17714286
2018;Medellin;12;89,11428571;81,50857143
2018;Barranquilla;12;73,27428571;100,5257143
2019;Bogota;12;84,10857143;82,37714286
2019;Cali;12;85,73142857;79,31571429
2019;Medellin;12;90,08571429;81,65285714
2019;Barranquilla;12;76,74857143;100,69
2020;Bogota;12;80,77428571;82,45857143
2020;Cali;12;84,43571429;79,39714286
2020;Medellin;12;83,76714286;81,73285714
2020;Barranquilla;12;72,78571429;100,8414286
2010;Barranquilla;13;74,97285714;100,3942857
2010;Bogota;13;72,01;82,22428571
2010;Cali;13;79,19428571;79,19142857
2010;Medellin;13;86,41714286;81,51
2011;Barranquilla;13;79,35;100,4742857
2011;Bogota;13;80,00714286;82,27142857
